IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,College_Num
132,9.6,9.38,4,0,5,1,0,0,86
97,6.77,6.37,10,0,3,2,5,0,67
101,8.6,8.57,4,0,7,4,4,0,83
108,7.21,7.3,3,0,5,1,1,0,94
100,8.28,7.83,7,1,3,6,1,0,9
125,6.7,6.6,1,0,4,4,0,0,99
90,6.61,6.37,2,1,1,2,0,0,35
102,7.12,6.65,1,1,9,10,2,0,13
88,5.73,5.36,4,1,0,4,1,0,26
80,9.16,8.8,5,0,6,8,4,1,45
90,6.74,6.42,10,1,9,6,0,0,51
99,7.0,7.3,5,1,2,1,3,0,92
93,9.47,9.41,2,1,2,5,1,0,25
89,7.48,7.13,3,1,5,6,3,0,56
78,7.72,7.32,4,0,2,4,1,0,39
98,9.78,9.58,10,0,6,4,0,0,3
77,9.43,9.73,6,0,6,3,2,0,75
111,5.85,5.71,6,0,4,10,1,0,94
101,7.37,7.03,2,0,0,10,5,0,53
78,9.86,9.76,2,0,8,6,0,0,33
95,6.86,6.92,9,1,1,9,0,0,62
88,6.86,6.39,2,0,3,7,0,0,98
104,5.98,6.11,2,0,9,9,3,0,67
120,5.57,5.47,3,0,9,6,0,0,69
71,8.7,8.21,9,0,1,2,3,0,95
101,8.85,9.02,6,0,0,6,4,0,4
97,9.85,10.06,6,0,0,7,5,0,72
110,8.87,9.0,10,1,0,2,5,0,59
103,6.22,6.06,5,0,6,1,5,0,17
88,5.2,5.23,7,1,10,6,2,0,22
95,9.93,9.82,4,0,8,8,5,1,38
88,6.7,6.9,10,0,0,6,0,0,88
116,6.56,6.64,10,0,9,8,4,1,31
100,9.53,9.11,3,1,5,6,0,0,49
128,7.93,8.07,7,0,10,6,4,1,52
99,6.07,6.26,10,0,4,8,5,0,89
89,9.45,9.32,1,1,2,3,0,0,38
77,9.97,10.35,6,1,1,3,2,0,96
72,5.43,5.77,2,1,1,6,0,0,49
76,9.31,8.99,2,0,1,4,3,0,90
104,6.95,7.35,8,1,6,7,0,0,100
107,7.62,7.56,3,0,3,7,1,0,27
76,9.57,9.79,9,0,6,9,3,1,23
113,9.87,10.18,4,0,9,2,4,1,84
92,6.31,6.32,6,0,0,2,5,0,27
102,6.06,5.96,1,0,9,6,5,0,81
124,5.4,5.82,10,1,3,9,0,0,14
113,7.81,7.54,10,1,8,7,5,0,3
95,5.07,4.83,3,1,6,6,5,0,27
86,7.06,6.92,4,1,9,5,5,0,62
67,5.37,5.73,5,0,5,8,0,0,14
89,7.03,7.47,1,0,6,2,0,0,92
96,5.2,4.92,4,0,1,3,1,0,44
85,9.18,9.54,5,0,0,6,2,0,25
98,6.05,5.81,4,1,9,1,2,0,61
101,6.64,7.11,10,0,8,8,3,0,75
96,9.35,9.45,10,0,1,9,3,1,52
90,8.73,8.24,7,0,1,2,1,0,12
102,6.1,5.63,8,1,2,9,5,0,97
106,5.36,5.01,8,0,2,5,1,0,84
83,8.58,8.27,3,0,2,8,1,0,34
121,6.95,7.22,5,0,3,1,4,0,23
98,8.83,8.55,10,1,10,1,5,0,19
100,7.23,7.7,8,0,0,4,5,0,100
110,6.73,6.87,7,1,10,1,1,0,1
103,7.26,7.45,9,1,0,1,1,0,74
114,8.74,8.46,10,0,3,5,1,0,65
104,9.51,9.9,7,0,0,2,1,0,5
90,5.25,5.42,2,0,3,4,5,0,57
105,7.62,7.98,4,0,1,8,2,0,22
82,5.16,5.62,8,0,6,6,0,0,43
101,7.34,6.97,9,1,5,2,0,0,2
99,9.43,9.03,7,0,1,3,2,0,73
96,6.81,7.11,5,0,1,2,1,0,7
98,9.66,10.03,1,1,0,4,5,0,21
71,8.15,8.23,9,0,3,5,4,0,71
91,9.67,9.54,6,1,1,9,4,1,59
101,8.79,8.94,2,0,4,7,3,0,9
102,5.52,5.33,10,1,3,8,0,0,40
84,6.16,5.9,10,0,0,7,3,0,73
118,6.97,6.96,2,0,4,10,1,0,49
87,5.85,5.57,10,1,4,8,3,0,12
114,7.47,7.45,1,0,4,5,1,0,100
106,7.36,7.82,4,1,1,3,3,0,73
90,9.78,10.12,10,0,3,7,2,0,10
126,7.17,7.61,2,0,4,1,5,0,74
82,8.93,9.24,10,1,10,3,1,0,17
113,9.71,9.56,9,0,10,7,4,1,4
115,9.38,9.69,2,0,5,4,1,0,64
89,6.04,6.46,9,0,6,7,4,0,16
120,7.48,7.93,1,0,9,10,5,1,49
96,6.74,6.92,7,0,10,10,4,0,100
104,7.0,6.71,6,0,2,6,3,0,27
103,6.8,6.34,6,0,2,4,0,0,6
97,9.13,8.78,2,0,9,7,0,0,9
112,7.26,7.73,1,1,1,8,0,0,58
111,7.62,7.58,10,0,8,8,4,1,32
73,9.91,10.26,8,1,0,7,0,0,38
119,5.3,5.27,8,1,2,2,1,0,30
75,7.44,7.6,2,0,2,8,1,0,78
115,8.87,8.39,4,1,7,5,5,1,45
116,5.76,5.51,4,1,5,9,1,0,29
83,8.06,8.0,2,1,2,6,5,0,92
93,6.2,6.33,9,0,0,4,4,0,22
83,9.34,9.01,4,1,2,9,4,1,31
96,6.64,6.9,4,1,3,1,0,0,81
95,6.65,6.51,4,0,0,4,5,0,17
111,7.99,8.31,5,0,2,5,3,1,54
119,5.92,5.52,10,0,3,4,4,0,79
120,6.42,6.6,8,0,6,9,2,1,47
91,7.08,6.87,4,0,3,1,1,0,32
96,6.77,7.07,3,0,0,3,1,0,28
74,7.62,7.52,1,1,8,9,0,0,11
87,8.0,8.17,2,0,5,7,3,0,39
114,7.83,8.26,4,0,8,5,1,0,17
124,8.27,7.79,9,1,6,6,4,0,76
81,6.54,6.05,1,0,3,4,3,0,39
91,5.63,5.9,6,0,0,5,1,0,73
99,8.8,8.95,6,0,6,8,0,0,25
104,9.25,9.04,10,0,8,5,0,0,26
87,6.29,6.28,3,1,5,10,0,0,68
106,7.04,6.58,10,0,0,2,4,0,62
92,7.49,7.18,9,0,8,8,0,0,19
99,7.67,7.59,10,0,6,3,2,0,13
108,8.3,8.63,3,0,0,5,4,0,29
100,5.21,5.19,1,1,3,6,2,0,54
93,8.61,8.7,2,0,4,1,0,0,73
98,5.31,5.68,4,1,1,3,3,0,42
98,7.34,7.15,4,0,2,1,4,0,62
94,9.14,9.34,2,0,1,7,2,0,71
96,7.26,7.62,10,1,3,2,4,0,71
123,5.75,5.45,6,1,6,10,2,1,21
108,9.93,9.79,6,1,4,7,5,0,9
95,9.45,9.93,3,0,6,3,4,0,45
110,8.86,9.34,1,1,0,3,1,0,27
94,7.06,6.78,10,0,2,1,2,0,48
117,5.92,5.49,9,0,1,7,2,0,85
105,9.71,9.48,4,0,0,8,4,1,69
98,7.66,7.56,9,1,4,4,3,0,5
106,9.26,9.2,5,0,2,9,1,0,72
76,6.71,6.83,7,0,7,4,2,0,15
83,6.68,7.08,3,1,4,10,0,0,77
82,9.93,9.76,3,0,4,5,0,0,97
102,7.61,7.96,8,0,6,6,5,0,44
125,5.7,5.29,1,0,7,9,4,1,47
133,6.1,5.64,8,0,0,9,3,1,32
109,7.41,7.41,8,0,4,8,1,0,36
107,5.21,4.77,3,1,8,10,2,0,49
72,7.31,7.2,1,0,10,2,0,0,53
91,7.09,7.49,9,1,8,10,2,0,23
88,8.9,8.64,4,1,6,10,0,0,34
90,6.77,6.98,7,1,3,1,4,0,18
97,9.91,9.71,9,0,1,2,4,0,12
92,5.9,5.44,3,1,4,6,2,0,87
70,7.95,8.01,5,1,3,7,4,0,2
111,5.45,5.78,10,1,0,6,1,0,27
83,8.67,8.58,3,0,6,1,5,0,50
103,9.97,10.09,5,0,2,1,4,0,31
131,9.1,9.5,2,0,5,1,1,0,48
86,7.78,8.07,4,0,4,1,4,0,86
62,7.42,7.11,2,1,3,10,2,0,69
95,9.18,9.41,3,1,2,10,1,0,17
116,9.68,9.68,5,1,8,1,5,1,43
129,9.95,10.2,9,1,4,2,5,1,71
81,6.98,6.97,3,0,9,2,5,0,18
107,9.95,9.58,10,0,6,4,3,0,66
93,5.78,5.85,6,1,3,3,5,0,31
98,6.27,6.26,4,1,0,4,2,0,63
139,5.45,5.47,4,1,1,5,1,0,28
77,6.36,6.74,10,0,9,4,0,0,67
103,8.84,9.23,10,1,4,3,5,0,9
107,9.26,9.21,5,0,7,3,0,0,97
116,8.89,8.85,7,1,7,4,3,1,28
101,8.16,8.18,4,0,7,6,0,0,92
104,7.57,7.59,8,0,8,7,2,0,18
94,8.54,8.99,9,1,1,4,5,0,15
104,6.95,7.1,9,0,3,8,1,0,75
94,9.21,8.99,9,0,10,6,5,0,89
109,8.39,8.42,2,0,9,5,2,0,5
94,8.49,8.62,3,0,5,8,4,1,41
105,7.68,7.82,5,0,5,6,4,0,91
99,9.43,9.52,1,0,4,1,0,0,76
116,6.26,5.94,4,0,1,1,3,0,74
99,6.91,6.44,5,0,7,10,3,0,73
73,8.89,8.73,9,1,0,10,5,1,66
118,7.46,7.39,8,0,0,6,4,0,73
86,9.45,9.01,1,0,0,8,3,1,51
90,6.73,7.04,3,0,8,9,3,0,16
91,6.85,6.69,3,1,4,4,0,0,65
120,9.44,9.85,6,1,1,7,5,1,85
67,7.32,6.97,4,0,10,9,2,0,57
147,7.58,7.14,4,0,0,8,2,1,37
115,6.66,6.64,1,1,3,8,1,0,39
103,6.38,6.07,10,1,10,1,2,0,65
99,8.28,8.72,4,0,1,10,2,1,49
104,5.6,5.11,1,1,2,6,0,0,47
107,9.4,9.31,5,0,1,9,5,1,40
109,8.9,9.33,3,1,7,8,0,0,14
108,5.95,5.83,10,1,2,2,5,0,40
101,8.47,8.06,5,1,1,5,2,0,48
97,8.01,7.81,3,1,5,4,1,0,32
97,5.92,5.92,5,0,6,8,2,0,88
97,6.37,6.06,4,1,8,9,5,0,39
117,7.04,7.01,9,1,10,3,2,0,33
108,8.5,8.84,6,0,9,9,4,1,30
55,8.19,8.56,10,1,3,1,5,0,26
109,7.66,7.21,2,1,4,7,1,0,43
102,8.84,8.5,1,1,10,8,5,1,55
99,8.79,8.57,1,0,5,6,2,0,44
94,8.09,8.18,1,0,2,4,0,0,78
116,8.93,8.79,9,0,2,4,5,1,76
114,6.67,7.01,5,0,2,7,2,0,3
88,9.41,9.63,4,0,4,10,3,1,7
106,8.07,7.67,10,0,10,6,4,0,85
85,9.11,9.23,5,0,5,4,4,0,58
79,7.73,7.34,9,1,8,5,4,0,91
90,6.09,5.85,3,0,8,10,1,0,10
112,7.71,7.39,3,0,4,4,5,0,10
114,6.86,6.53,2,1,7,1,4,0,100
107,8.49,8.61,8,1,6,4,2,0,81
110,7.38,7.44,7,0,3,6,1,0,42
107,9.18,8.86,2,1,0,2,3,0,34
90,8.39,8.88,4,0,2,7,0,0,82
106,8.42,8.34,7,1,10,9,4,1,26
112,6.09,5.69,1,0,9,10,2,1,60
111,9.92,9.54,1,1,4,2,1,0,2
117,9.21,9.29,8,0,9,7,5,1,73
110,8.95,9.43,6,0,2,2,5,0,45
105,6.65,6.72,2,0,10,9,2,0,5
116,7.68,8.13,10,0,3,1,5,1,26
99,5.69,5.63,10,0,8,4,4,0,79
86,7.69,7.63,1,0,8,2,0,0,25
97,5.73,5.73,3,1,10,1,1,0,26
88,7.77,7.97,4,1,8,2,2,0,92
89,8.24,8.11,5,1,8,10,1,0,87
97,6.95,7.31,10,1,0,6,4,0,85
88,7.49,7.02,3,0,8,5,5,0,22
95,9.38,9.32,5,0,10,1,4,0,19
71,5.54,5.55,7,0,10,3,3,0,10
103,8.96,9.07,9,0,1,10,3,1,42
100,5.85,5.63,5,0,7,6,4,0,100
87,5.18,5.11,4,1,8,5,1,0,31
109,5.93,5.91,10,0,7,6,2,0,31
114,8.83,9.02,9,1,8,8,2,1,99
75,7.03,7.3,8,0,4,6,1,0,75
88,9.36,9.6,5,0,9,5,0,0,81
88,7.62,7.46,9,0,6,4,1,0,97
85,5.11,5.61,9,0,10,5,4,0,86
112,8.58,8.93,1,1,2,9,4,1,90
97,5.55,5.31,6,0,3,10,3,0,36
96,8.95,8.65,5,0,3,6,2,0,66
69,5.84,5.65,6,1,9,5,3,0,32
109,6.73,6.68,10,1,3,8,2,0,67
81,8.81,9.16,3,1,10,5,1,0,63
100,9.77,10.05,3,0,7,5,0,0,23
104,6.86,7.21,10,0,1,8,5,0,50
120,9.15,8.92,5,1,1,9,2,1,65
80,5.95,6.04,7,0,4,8,0,0,69
54,9.04,8.82,4,1,5,9,0,0,44
102,8.29,7.9,6,1,3,9,0,0,58
127,5.96,6.14,5,1,6,8,1,0,57
118,6.51,6.15,2,0,9,7,0,0,37
103,5.66,5.83,1,0,3,7,0,0,65
92,6.91,7.06,6,0,7,1,4,0,18
112,6.02,6.33,5,0,1,7,4,0,5
85,8.22,7.86,9,1,9,10,2,0,82
107,9.97,10.25,7,1,3,6,4,0,99
107,5.06,5.56,1,1,10,1,2,0,96
115,7.7,8.05,10,1,6,10,0,1,26
141,7.87,8.12,6,0,4,10,4,1,33
105,9.57,9.73,7,0,9,8,3,1,42
92,7.53,7.45,3,1,10,9,5,0,88
99,7.72,7.95,9,1,1,2,5,0,27
73,7.36,7.58,2,1,2,4,1,0,54
89,6.34,6.47,1,0,3,7,4,0,83
93,5.28,5.58,10,0,4,1,1,0,82
92,7.04,6.99,10,0,6,8,5,0,79
102,5.26,4.88,9,0,2,9,4,0,91
87,7.75,7.81,7,1,8,8,5,0,75
116,6.54,6.31,10,0,9,2,4,0,24
100,7.67,7.55,1,0,2,8,3,0,3
99,5.67,5.19,4,0,4,8,0,0,39
95,9.66,9.54,10,1,4,2,2,0,71
102,9.47,9.78,3,0,6,9,4,1,12
112,5.95,5.99,7,0,5,1,4,0,33
86,6.72,6.23,5,0,10,7,1,0,22
90,8.07,8.04,9,1,2,2,0,0,35
95,5.48,5.27,3,1,0,8,4,0,14
79,6.77,6.75,6,0,5,8,4,0,26
87,6.26,6.16,10,0,10,4,2,0,83
92,9.58,10.01,2,0,5,8,5,1,85
113,9.26,8.8,3,0,3,5,0,0,54
103,7.9,8.08,4,1,1,9,0,0,41
102,7.6,7.95,6,0,8,1,5,0,45
112,9.65,10.11,1,1,5,5,4,1,31
97,9.66,9.34,6,0,0,9,0,0,69
105,9.85,9.88,4,1,7,6,0,0,99
98,5.63,5.17,8,0,9,4,2,0,17
103,5.8,5.8,9,1,6,1,3,0,60
91,8.38,8.01,8,0,10,10,5,1,96
63,7.71,8.05,8,1,10,6,5,0,4
97,5.09,4.7,2,0,5,7,2,0,10
121,5.31,5.32,10,1,10,7,3,0,94
113,9.44,9.46,2,0,10,9,2,1,9
114,9.34,9.81,6,0,0,4,5,1,61
118,6.79,6.94,5,1,9,4,5,0,90
101,9.46,9.25,6,1,4,5,4,0,22
102,7.97,7.71,9,0,3,9,2,0,21
90,9.03,8.66,10,1,6,2,0,0,23
95,7.14,7.4,7,1,1,4,0,0,61
109,5.57,5.76,5,0,0,9,1,0,12
118,7.17,7.28,10,0,6,6,4,0,95
97,7.29,6.83,7,1,7,6,0,0,17
93,7.75,8.01,8,0,4,7,4,0,55
100,5.53,5.67,1,0,7,5,2,0,21
109,9.96,10.42,10,0,3,4,0,0,54
78,6.22,6.31,7,0,7,3,4,0,47
65,5.99,5.79,4,0,10,2,2,0,41
91,7.63,7.51,5,0,2,7,5,0,97
81,7.69,7.37,2,0,6,5,3,0,15
92,7.2,7.42,10,1,5,1,1,0,96
97,8.86,9.07,5,1,0,4,2,0,59
93,7.58,7.28,9,0,4,9,5,0,99
121,8.05,7.71,1,0,10,8,3,1,15
104,8.62,8.2,3,0,3,7,4,0,29
104,5.13,5.54,4,0,5,5,3,0,11
109,7.85,7.58,9,0,8,1,0,0,29
82,9.42,9.26,2,1,3,5,5,0,86
115,5.09,4.87,7,1,1,8,5,1,90
98,7.03,6.94,9,0,7,4,4,0,82
110,9.63,9.84,10,0,0,5,1,0,89
83,6.77,7.14,4,1,5,8,1,0,85
76,7.29,6.97,5,0,3,5,4,0,88
112,9.91,10.1,10,0,5,4,0,0,56
105,6.0,5.85,4,0,2,4,4,0,92
86,5.33,5.81,7,1,8,6,4,0,53
86,9.3,9.1,8,0,2,10,5,1,3
116,9.34,8.85,8,0,2,1,4,1,13
82,7.36,7.38,3,1,4,4,2,0,38
124,7.57,7.22,2,1,6,1,1,0,70
86,9.18,8.72,6,1,5,6,1,0,11
109,8.69,8.89,1,0,6,8,0,0,23
95,6.33,6.56,9,0,8,4,1,0,73
109,5.08,5.04,7,0,2,8,0,0,56
91,7.4,7.58,8,0,4,2,5,0,17
97,9.29,9.33,7,1,4,5,0,0,9
100,9.48,9.61,5,0,2,3,1,0,83
84,9.78,9.88,5,0,10,7,4,0,99
111,9.4,9.57,7,0,9,9,4,1,96
92,7.9,7.6,7,1,8,1,2,0,92
96,7.22,6.99,2,1,8,8,0,0,28
85,8.87,8.81,2,0,5,4,3,0,79
61,8.7,8.65,7,0,4,10,3,1,19
97,7.69,7.96,5,1,3,5,5,0,97
136,5.44,5.31,2,0,3,1,1,0,87
111,9.63,9.29,1,1,4,5,1,0,92
99,7.28,7.03,9,0,1,9,3,0,4
96,6.82,6.53,8,0,7,8,2,0,47
100,8.15,8.38,2,1,6,8,5,1,47
108,8.37,8.34,2,1,6,6,0,0,31
82,6.05,6.26,3,1,0,9,0,0,99
116,9.18,9.1,4,1,7,4,5,1,5
110,6.45,6.84,9,1,10,6,1,0,33
110,5.93,6.41,6,0,0,3,5,0,48
106,7.03,7.2,3,1,8,2,1,0,32
100,8.65,9.01,8,0,5,9,5,1,79
110,9.83,9.84,6,1,7,5,4,0,59
108,9.05,9.48,8,1,0,2,2,0,98
94,9.7,10.03,10,1,5,5,0,0,64
91,5.7,6.19,2,0,0,6,4,0,47
101,5.36,5.48,8,1,2,8,3,0,9
123,7.79,8.07,5,0,1,5,4,1,35
81,6.45,6.49,10,1,1,2,5,0,47
77,9.14,8.9,4,0,3,7,3,0,88
102,8.36,8.21,3,0,6,5,3,0,82
100,9.85,10.24,9,0,2,2,0,0,17
102,6.27,5.83,10,0,6,6,4,0,1
103,7.43,7.52,7,1,8,7,0,0,55
96,7.51,7.38,7,0,3,8,2,0,11
122,6.2,6.09,6,0,6,3,2,0,33
75,7.95,8.33,9,1,0,4,2,0,70
87,7.22,7.57,3,1,1,6,2,0,56
98,7.23,7.33,1,0,7,3,3,0,64
75,6.81,6.58,7,1,2,6,5,0,93
97,5.08,5.06,9,0,4,9,2,0,58
124,7.61,7.52,6,1,7,5,0,0,20
100,6.68,6.53,10,0,4,2,5,0,18
103,5.01,4.61,2,1,0,10,4,0,78
81,6.54,6.58,8,0,1,2,4,0,45
90,6.39,6.19,9,1,9,7,0,0,43
94,6.97,7.13,10,0,10,4,1,0,20
95,5.66,5.48,8,0,2,9,1,0,57
119,7.54,7.47,9,0,9,9,1,0,82
108,8.46,8.01,1,1,1,6,1,0,27
83,8.15,8.64,3,0,8,10,3,1,18
103,9.02,9.03,3,0,4,5,3,0,17
107,7.26,6.78,9,0,0,7,4,0,60
117,7.6,7.64,3,0,10,5,4,0,89
123,9.05,9.42,10,1,10,9,3,1,5
84,7.14,7.41,1,1,10,9,3,0,6
87,8.51,8.71,3,0,7,7,4,0,100
81,7.17,6.81,2,1,2,4,0,0,97
96,7.09,7.25,9,0,10,1,3,0,15
106,8.8,9.07,1,0,8,4,0,0,39
114,5.87,5.94,2,0,8,3,2,0,80
98,6.69,7.08,1,1,5,1,0,0,39
95,6.12,5.9,9,0,3,10,0,0,88
102,6.8,6.54,7,0,8,4,3,0,21
87,6.15,6.52,1,0,10,7,2,0,13
131,7.9,8.03,10,1,8,2,1,0,29
75,8.99,8.49,6,1,1,7,0,0,98
102,8.93,8.78,5,1,9,6,2,0,5
130,6.82,7.18,10,1,5,9,2,1,67
100,9.94,9.47,5,0,10,2,3,0,21
97,7.97,7.47,4,0,3,6,2,0,9
94,7.0,6.78,3,0,2,6,5,0,67
97,9.18,9.59,8,0,9,6,1,0,44
120,8.65,9.05,7,1,5,3,3,1,62
66,8.75,8.77,5,0,10,6,5,0,94
123,5.98,6.03,9,0,7,9,0,0,67
78,7.34,7.17,7,0,8,3,3,0,62
96,9.31,9.05,10,1,8,2,0,0,62
93,7.52,7.84,2,0,1,8,3,0,60
108,8.42,8.03,7,0,7,3,2,0,49
76,7.94,7.93,7,0,10,5,1,0,39
106,9.21,9.34,4,0,7,5,3,0,41
130,6.42,6.02,8,1,4,2,5,0,50
79,7.88,7.9,4,1,3,2,4,0,98
102,5.62,5.7,7,0,8,6,2,0,17
90,8.45,8.69,4,0,3,2,3,0,53
106,8.66,8.39,8,0,9,6,2,0,55
100,5.21,5.0,3,1,3,7,4,0,78
90,8.38,8.45,2,0,2,4,5,0,75
107,7.07,7.55,10,0,9,10,2,0,56
127,5.62,5.34,6,1,2,4,2,0,1
97,7.1,7.59,7,0,2,3,3,0,65
110,5.97,6.18,7,1,10,1,2,0,64
80,7.08,7.41,6,1,6,4,5,0,52
85,6.92,6.51,8,0,4,3,3,0,15
107,8.69,8.49,6,1,8,8,1,0,2
122,8.87,8.43,6,0,1,5,4,1,12
105,8.04,7.91,3,0,3,7,5,0,45
95,5.11,5.59,2,0,1,3,5,0,57
99,9.66,9.27,7,1,10,3,0,0,42
81,8.43,8.49,6,1,7,6,4,0,2
109,5.17,4.68,1,0,3,10,2,0,87
113,9.09,9.3,2,0,0,4,5,1,62
93,6.0,5.7,2,1,9,8,3,0,34
92,7.9,7.53,1,1,2,3,0,0,17
103,7.33,7.17,3,1,6,5,0,0,41
93,7.1,7.37,5,0,2,1,5,0,78
99,9.45,9.06,4,0,4,1,2,0,75
131,7.19,6.92,2,1,1,8,5,1,84
96,5.38,4.89,8,0,7,7,0,0,71
94,9.73,10.2,9,1,3,1,3,0,65
90,9.6,9.69,8,0,0,6,2,0,15
111,8.42,8.64,7,0,3,2,5,1,38
97,7.34,7.49,10,0,7,1,4,0,98
90,5.46,5.1,2,0,8,10,2,0,73
119,8.95,9.04,6,1,0,5,2,1,65
121,5.38,5.01,4,0,5,5,0,0,9
90,5.34,5.24,5,0,3,2,5,0,42
72,7.69,7.76,9,0,10,5,1,0,66
115,5.8,5.86,9,1,7,7,0,0,86
89,5.04,4.66,4,1,0,4,5,0,89
111,7.12,6.65,8,1,4,2,5,0,51
70,5.69,5.99,5,1,0,5,1,0,78
113,5.8,6.03,9,1,3,6,2,0,99
81,5.38,4.96,2,1,1,8,2,0,80
110,6.03,5.66,4,0,9,9,5,0,19
100,8.58,8.97,3,0,8,10,4,1,31
85,9.04,9.31,7,1,1,8,0,0,66
93,7.26,7.76,2,1,3,7,4,0,32
110,7.53,7.28,3,0,2,9,3,0,100
101,5.16,5.15,9,0,0,9,2,0,75
108,5.35,5.09,8,0,0,6,5,0,8
129,6.29,6.41,2,0,1,3,5,0,69
76,7.72,7.34,6,1,7,8,4,0,98
124,8.7,8.33,3,0,1,3,3,1,32
101,8.03,7.6,6,0,0,1,1,0,47
86,6.96,7.15,5,0,5,4,0,0,70
80,5.59,5.58,10,0,0,9,3,0,8
97,8.9,9.02,4,0,9,8,0,0,34
113,6.82,7.2,7,0,8,6,2,0,4
98,8.68,8.92,10,0,5,3,5,0,36
122,7.56,7.52,7,0,9,3,1,0,44
78,8.69,9.17,4,0,5,7,2,0,25
99,9.54,9.5,3,0,0,5,3,0,26
81,9.61,9.22,4,0,6,3,1,0,33
105,7.68,8.17,2,1,2,1,3,0,9
113,7.56,7.08,4,0,0,9,0,0,47
93,6.33,6.38,4,1,8,5,2,0,72
60,9.68,9.49,5,1,7,7,0,0,17
102,7.29,7.29,1,1,3,10,1,0,15
106,5.64,5.7,2,1,2,9,4,0,42
106,7.16,6.9,8,1,1,4,0,0,54
118,5.64,5.7,8,1,1,5,1,0,13
83,7.51,7.77,8,0,10,3,1,0,50
110,7.81,7.58,5,1,2,7,3,0,44
117,6.69,6.57,8,1,0,1,0,0,3
73,5.36,5.13,9,0,9,8,2,0,53
104,9.72,10.04,4,0,6,3,0,0,56
92,8.87,9.09,4,1,1,4,3,0,54
98,9.19,9.56,7,0,5,10,1,0,57
105,6.83,6.5,5,0,5,4,2,0,12
92,8.8,8.37,10,1,10,7,4,0,93
89,7.43,7.05,1,0,3,7,5,0,59
100,6.01,5.67,8,0,3,4,2,0,65
83,5.62,5.65,4,0,0,6,5,0,96
83,6.73,7.2,8,1,10,8,0,0,37
110,5.69,5.55,2,1,5,10,2,0,20
82,9.99,10.45,4,1,7,4,0,0,72
109,5.25,4.79,2,1,9,1,2,0,37
106,7.21,7.64,5,1,3,7,0,0,31
74,7.26,6.94,10,0,0,2,5,0,95
89,6.5,6.91,10,0,3,3,1,0,25
117,7.86,7.42,8,0,1,8,1,0,50
85,5.75,6.2,7,1,3,2,0,0,49
93,8.92,8.62,5,1,7,2,0,0,8
106,6.66,6.46,7,0,2,4,4,0,94
111,7.96,7.95,5,0,4,6,0,0,94
96,8.58,8.46,7,0,9,10,3,1,91
91,9.45,9.62,4,0,10,2,5,0,35
121,9.18,9.65,4,1,1,9,0,1,13
126,8.04,8.15,10,1,8,2,1,0,21
114,6.94,7.16,4,0,2,9,2,1,73
101,7.52,7.11,8,0,0,7,1,0,24
87,8.84,8.97,1,1,6,3,3,0,48
87,9.39,9.34,10,1,10,9,2,1,33
107,5.52,5.91,5,1,4,9,1,0,1
106,6.92,6.81,10,1,8,6,0,0,72
121,8.88,9.06,2,0,2,2,5,1,3
109,7.16,6.89,10,1,10,7,0,0,14
77,6.66,6.42,4,0,0,4,2,0,14
115,7.06,6.94,5,0,6,4,5,0,49
85,8.01,7.81,8,0,7,7,4,0,33
94,10.0,9.75,2,0,10,5,3,0,4
103,7.46,7.01,2,0,1,1,1,0,38
129,6.04,6.38,2,0,1,3,1,0,25
146,5.81,5.37,8,1,8,7,3,0,47
109,5.21,5.6,3,1,3,9,1,0,13
97,7.79,7.42,5,0,0,9,2,0,39
108,7.72,7.29,2,1,8,7,4,0,25
113,6.03,6.09,6,1,8,5,2,0,73
95,8.48,8.48,10,0,5,4,4,0,43
126,8.71,8.7,6,0,5,9,5,1,38
103,6.3,6.37,2,0,8,6,0,0,35
107,6.72,6.51,4,0,1,10,4,0,93
109,9.95,10.11,2,1,8,2,4,0,55
106,6.87,6.87,10,1,3,3,4,0,50
112,8.8,8.63,4,0,3,7,1,0,78
90,7.26,7.59,7,0,8,4,4,0,34
91,8.97,9.2,5,1,6,7,3,0,25
83,8.85,8.74,10,0,9,5,0,0,42
106,8.34,8.69,4,0,4,1,0,0,92
111,9.27,9.69,10,0,7,10,1,1,51
106,9.7,9.74,10,0,0,3,2,0,94
125,7.9,7.61,3,1,6,9,3,1,37
99,6.19,6.61,6,0,3,4,2,0,66
110,6.99,6.68,2,0,1,5,4,0,85
83,8.79,8.34,4,0,1,2,2,0,34
94,8.25,8.08,8,0,10,10,3,1,83
110,5.89,6.12,2,0,8,8,1,0,38
112,5.26,5.68,9,1,5,1,1,0,31
95,8.41,8.55,2,1,10,4,4,0,26
98,6.26,6.71,8,0,3,6,3,0,76
77,7.5,7.09,8,1,1,8,1,0,94
94,8.73,8.29,7,1,6,4,4,0,26
113,7.81,7.91,10,0,8,2,2,0,63
108,5.42,5.89,6,0,1,4,3,0,48
107,5.93,5.93,1,0,3,1,1,0,95
100,6.1,5.65,2,1,0,8,3,0,79
100,6.29,6.01,7,1,0,9,1,0,10
90,7.83,7.57,4,1,2,3,5,0,36
110,7.52,7.36,9,0,0,8,1,0,40
106,6.02,5.56,3,0,3,9,3,0,26
107,5.34,5.74,4,1,5,8,1,0,9
92,5.86,5.88,3,1,4,2,2,0,53
67,9.92,10.09,7,1,8,2,4,0,81
116,7.34,6.91,2,0,10,10,5,1,70
